polymer,length_um,morphology
tire wear & asphalt,8.553842081,fragment
mineral,8.654708345,fragment
mineral,2.430128154,fragment
mineral,13.27354891,fragment
tire wear & asphalt,4.453866398,fragment
mineral,4.325974221,fragment
mineral,9.802108708,fragment
mineral,2.725533713,fragment
mineral,2.146113003,fragment
mineral,13.22350257,fragment
mineral,7.525128635,fragment
mineral,4.365379173,fragment
mineral,8.928819522,fragment
mineral,2.821133972,fragment
mineral,3.216994756,fragment
mineral,2.152865524,fragment
mineral,5.054123163,fragment
mineral,3.028150886,fragment
tire wear & asphalt,3.901602138,fragment
mineral,3.30502456,fragment
mineral,7.115810133,fragment
mineral,2.391147333,fragment
mineral,13.05289496,fragment
tire wear & asphalt,13.48303231,fragment
mineral,15.42384977,fragment
mineral,8.763314248,fragment
mineral,2.397254273,fragment
mineral,2.943813799,fragment
mineral,3.043139234,fragment
mineral,2.926376529,fragment
mineral,8.564782384,fragment
mineral,5.996995987,fragment
mineral,17.95477987,fragment
mineral,2.211709337,fragment
mineral,4.990480928,fragment
mineral,6.627284942,fragment
tire wear & asphalt,5.277607326,fragment
mineral,5.285357651,fragment
mineral,5.979712506,fragment
mineral,3.064293131,fragment
mineral,2.273172505,fragment
mineral,17.12312687,fragment
mineral,3.600929955,fragment
mineral,2.49327995,fragment
mineral,11.34478764,fragment
mineral,2.344370004,fragment
mineral,2.107152211,fragment
mineral,11.29414291,fragment
mineral,2.19233124,fragment
mineral,2.756054777,fragment
mineral,3.975329208,fragment
mineral,4.703142007,fragment
mineral,4.440758374,fragment
mineral,6.898963439,fragment
mineral,8.993516388,fragment
mineral,5.964226235,fragment
mineral,2.318425334,fragment
tire wear & asphalt,3.463412246,fragment
mineral,2.584862355,fragment
mineral,3.241525707,fragment
mineral,2.544672994,fragment
mineral,3.380651197,fragment
mineral,2.37532261,fragment
mineral,5.431176668,fragment
mineral,4.045454152,fragment
tire wear & asphalt,11.36502282,fragment
mineral,2.372688024,fragment
mineral,2.703295193,fragment
mineral,3.79527776,fragment
tire wear & asphalt,2.669154955,fragment
tire wear & asphalt,2.208141894,fragment
mineral,15.39253886,fragment
mineral,2.375297342,fragment
mineral,7.452729594,fragment
mineral,3.821547268,fragment
mineral,10.56707252,fragment
tire wear & asphalt,6.866919371,fragment
tire wear & asphalt,4.481215102,fragment
mineral,2.220158606,fragment
mineral,5.200755078,fragment
mineral,4.306464242,fragment
mineral,9.237165303,fragment
mineral,3.407226144,fragment
mineral,2.544738267,fragment
mineral,3.926823413,fragment
mineral,2.273857986,fragment
mineral,2.834155598,fragment
mineral,6.897493633,fragment
mineral,3.817920824,fragment
tire wear & asphalt,4.098901677,fragment
mineral,2.341980397,fragment
mineral,19.50659882,fragment
mineral,4.519867512,fragment
mineral,2.013669299,fragment
tire wear & asphalt,10.50759459,fragment
mineral,3.518053878,fragment
mineral,2.964994386,fragment
tire wear & asphalt,5.114855402,fragment
mineral,9.875837449,fragment
mineral,6.462727628,fragment
